smoking_former,smoking_never,c_chf,c_ihd,c_cancer,c_dm,c_asthma,c_dementia,c_depression,c_anxiety,c_htn,rio_cat_2,rio_cat_3,deprivation_Q2,deprivation_Q3,deprivation_Q4,deprivation_Q5,smk_time_dx
-3.479068317,-4.887468588,-7.972828969,-4.511716393,-4.798307355,-2.920270303,0.105711908,-6.763184827,-0.687558151,-0.056904395,-4.500491252,0.226811122,-0.721056492,0.395836259,0.568857926,0.713720471,1.400440109,1.837763295
0.053731601,0.06805578,0.07628432,0.033395181,0.039859816,0.01590328,-0.026221308,0.050660089,-0.041011791,-0.022204262,0.062484304,-0.004079133,-0.007679438,-0.005390894,-0.005591708,-0.005472815,-0.014031523,0.611915195
0.391261466,-0.737974609,0.398104805,0.509820889,0.279495676,0.137177309,-0.638383324,-0.222928784,-0.422374193,-0.56130414,-0.164382206,-0.045045728,0.097370846,-0.122700372,-0.116807834,-0.253101855,-0.284452898,-0.317498297
0,0,0.416732612,0.296420221,0.174408087,0.236432917,0.483451908,-0.211478094,-0.06718193,-0.114687335,0.264525177,0.00124819,0.110687933,-0.097100738,-0.149087911,-0.213741761,-0.388897363,-11.77694617
0,0,0.428885401,0.171285036,0.011767026,0.107871152,0.834868517,-0.147468511,-0.383195781,-0.021161635,0.2517191,-0.100466838,-0.012919821,-0.035266322,-0.161283927,-0.232651643,-0.41868039,-1.159811323
0,0,0,1.510396739,0.013813138,0.883335697,-0.057191705,0.580809489,-0.044666099,0.03379174,0.637571985,0.009699144,-0.026640753,0.044732569,0.011460782,-0.068011616,0.063862889,0.636823078
0,0,0,0,0.101970871,0.374726604,0.04235532,0.08231346,0.240741352,0.131090294,0.755437972,0.124634978,0.122203122,-0.102769659,0.115637179,0.048067884,0.203747404,0.403670556
0,0,0,0,0,0.218327161,-0.094498696,0.066749023,0.343311617,0.232801097,0.06774237,0.018376077,-0.086038415,0.040974525,0.006807907,-0.013146491,-0.065842978,0.542516491
0,0,0,0,0,0,0.086256198,0.405644884,0.147323217,-0.059000752,1.064447665,-0.050478269,0.08853576,0.193084619,0.132825378,0.318874854,0.346119967,-1.7484599
0,0,0,0,0,0,0,0.017078493,0.2929757,0.234596994,0.128342564,-0.267456359,-0.267379576,0.050731269,-0.062762505,0.049382631,0.134111972,0.121248335
0,0,0,0,0,0,0,0,3.18432996,0.939605098,0.317689817,-0.167598563,-0.227119838,-0.097297984,-0.075413112,-0.15264771,-0.067786715,-0.123586905
0,0,0,0,0,0,0,0,0,1.383032374,0.018978423,0.068669165,0.000722272,-0.06652194,0.207905041,0.131854697,0.261450771,-0.828587022
0,0,0,0,0,0,0,0,0,0,0.156110785,-0.286033998,-0.26900769,0.030791001,0.056082591,0.055519074,0.074607974,-0.111828585
0,0,0,0,0,0,0,0,0,0,0,0.021990322,0.089917719,-0.012232094,-0.048759112,0.003958074,0.132900578,0.412217021
0,0,0,0,0,0,0,0,0,0,0,0,0,0.608760204,0.671431816,0.594838344,0.40688726,0.60813168
0,0,0,0,0,0,0,0,0,0,0,0,0,0.888244147,1.122502251,1.51445238,1.343716813,0.610020285
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.100682725
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35087683
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.531129229
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
