smoking,c_chf,c_ihd,c_cancer,c_dm,c_asthma,c_dementia,c_depression,c_anxiety,c_htn,rio_cat_2,rio_cat_3,deprivation_Q2,deprivation_Q3,deprivation_Q4,deprivation_Q5
3.632205048,-7.726643245,-4.564787352,-4.83197071,-2.901375547,0.713042442,-7.040535809,-1.032812324,-0.083439411,-4.386792533,0.128714444,-0.804605181,0.252701738,0.406855024,0.584953053,1.115998663
-0.035544669,0.079608018,0.03680179,0.040060859,0.016754976,-0.023514435,0.054423436,-0.041926697,-0.022268808,0.064195136,-0.004046986,-0.006816991,-0.003903264,-0.006086676,-0.006888729,-0.015171025
0.948354303,0.39436629,0.549480061,0.321622235,0.156540734,-0.642202793,-0.222822628,-0.426647895,-0.578400346,-0.131637569,-0.056664071,0.084254672,-0.111345461,-0.147625792,-0.259536848,-0.311328661
0,-0.15864252,0.004264442,0.101861517,0.044841056,-0.50953936,-0.010286596,0.363348641,-0.020334083,-0.105319294,0.107525949,0.107196245,-0.017863733,0.104385486,0.060707234,0.193631739
0,0,1.552406147,-0.037750808,0.846164952,0.028886098,0.502593818,-0.036649701,0.069523148,0.617827438,0.032021701,-0.053840133,-0.02715854,-0.019417101,-0.115221072,0.016138262
0,0,0,0.124141305,0.447618021,0.022317566,-0.070883105,0.281499595,0.158043909,0.759475565,0.158999464,0.108303705,-0.057388667,0.075263793,0.08007675,0.170873538
0,0,0,0,0.218535383,-0.10793008,0.056174966,0.287676965,0.298423527,0.09635512,-0.003441376,-0.119918357,-0.015628378,-0.057186335,-0.065094736,-0.118611414
0,0,0,0,0,0.130043224,0.461542409,0.087660482,-0.063489163,1.078909827,-0.026234467,0.041676053,0.191307661,0.149039458,0.311258707,0.328429366
0,0,0,0,0,0,0.065095322,0.268532777,0.21401793,0.112593804,-0.247396532,-0.311015644,0.073395188,-0.021151718,0.027736872,0.100445431
0,0,0,0,0,0,0,3.122120747,0.920725537,0.281270274,-0.114114038,-0.124038849,-0.088179306,-0.093307107,-0.294427955,-0.047442123
0,0,0,0,0,0,0,0,1.351414505,0.121931869,0.055886561,-0.033622123,0.010572064,0.174475947,0.17224646,0.156206976
0,0,0,0,0,0,0,0,0,0.130050738,-0.264287763,-0.250783372,-0.005412272,0.029955974,0.063712619,0.099604395
0,0,0,0,0,0,0,0,0,0,-0.002652936,0.093673598,0.01153834,-0.041690163,0.031911308,0.123574255
0,0,0,0,0,0,0,0,0,0,0,0,0.591792351,0.710775844,0.594651657,0.392135585
0,0,0,0,0,0,0,0,0,0,0,0,0.858337778,1.138362396,1.501893292,1.288986809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
